id;texto;categoria_assunto;canal;particao_recomendada
REC-00061;Gente, o item chegou com defeito no meu último pedido?;produto;email;validacao
REC-00062;Gente, o produto recebido é diferente do anúncio e preciso saber o que aconteceu;produto;chat;treino
REC-00063;"VENHO INFORMAR, A LIGAÇÃO CAIU E NINGUÉM RETOMOU O CONTATO; ALÉM DISSO, FALTOU UM ACESSÓRIO DENTRO DA CAIXA. AGRADEÇO SE PUDEREM OLHAR ISSO.!!!";produto;telefone;treino
REC-00064;Não consigo localizar onde está a encomenda desde ontem;entrega;site;treino
REC-00065;recebi o modelo errado há alguns dias;produto;email;treino
REC-00066;A coleta da devolução não aconteceu desde ontem.;troca_devolucao;chat;teste
REC-00067;estou tentando devolver o item o q mais preciso resolver é q o item apresentou problema no primeiro uso;produto;app;treino
REC-00068;"Só queria entender, a resposta recebida não tem relação com a minha dúvida; e o pacote demorou a chegar. Agradeço se puderem olhar isso.";atendimento;email;treino
REC-00069;O produto recebido é diferente do anúncio há alguns dias?;produto;site;treino
REC-00070;O pacote sumiu no trajeto. Também aconteceu o seguinte: o valor foi cobrado duas vezes.;pagamento;app;teste
REC-00071;Solicito orientação: uma parte do kit não veio e preciso saber o que aconteceu?;produto;app;treino
REC-00072;Boa tarde, solicitei troca e recebi instruções contraditórias Obrigada.;troca_devolucao;site;validacao
REC-00073;Oi, olá, o pedido ainda não chegou no meu último pedido Agradeço se puderem olhar isso.;entrega;app;teste
REC-00074;Então, estou com uma dúvida, recebi o modelo errado. Também aconteceu o seguinte: a ligação caiu e ninguém retomou o contato. Obrigado.;atendimento;chat;validacao
REC-00075;NÃO CONSIGO GERAR O BOLETO E, ALÉM DISSO, A DEVOLUÇÃO NÃO APARECE NO SISTEMA.;pagamento;email;treino
REC-00076;recebi só uma parte da compra e preciso saber o que aconteceu;entrega;app;treino
REC-00077;"Olá, só queria entender, o sistema diz pagamento pendente, mas já paguei; mas a devolução não aparece no sistema.";pagamento;email;treino
REC-00078;Olá, prometeram retorno e não retornaram desde ontem!;atendimento;app;treino
REC-00079;Só queria entender, a solicitação de devolução não avança há alguns dias? Fico no aguardo.;troca_devolucao;chat;treino
REC-00080;O PRODUTO RECEBIDO É DIFERENTE DO ANÚNCIO HÁ ALGUNS DIAS.;produto;site;treino
REC-00081;A descrição do anúncio não bate com o que chegou há alguns dias?;produto;chat;treino
REC-00082;Gente, pessoal, o item chegou com defeito e preciso saber o que aconteceu? Como resolvo?;produto;email;treino
REC-00083;o produto recebido é diferente do anúncio e preciso saber o q aconteceu;produto;site;treino
REC-00084;a encomenda esta atrasada e preciso saber o que aconteceu;entrega;telefone;validacao
REC-00085;Oi, ninguém responde ao protocolo. O que mais preciso resolver é que a transportadora não apareceu no endereço.;entrega;chat;teste
REC-00086;Então, a compra chegou depois da data em que eu precisava no meu último pedido;entrega;telefone;validacao
REC-00087;Desde a última atualização do rastreio, recebi o modelo errado desde ontem.;produto;telefone;treino
REC-00088;Na última compra, enviei o item de volta e ainda não confirmaram o recebimento há alguns dias.;troca_devolucao;app;treino
REC-00089;boa tarde, ninguém responde minhas mensagens. podem verificar?;atendimento;email;treino
REC-00090;O rastreio parou de atualizar desde ontem;entrega;chat;treino
REC-00091;o atendimento encerrou o contato sem resolver;atendimento;chat;treino
REC-00092;Gente, boa tarde, a descrição do anúncio não bate com o que chegou no meu último pedido. Obrigado.;produto;telefone;teste
REC-00093;Prometeram retorno e não retornaram e, além disso, a entrega também atrasou.;atendimento;site;treino
REC-00094;preciso de ajuda, o cupom foi aceito e depois o desconto sumiu há alguns dias;pagamento;app;treino
REC-00095;Gente, só queria entender, a previsão de chegada passou e nada. Também aconteceu o seguinte: recebi informações diferentes de cada atendente. Conseguem me orientar?;atendimento;app;treino
REC-00096;Preciso substituir o item por outro modelo e preciso saber o que aconteceu;troca_devolucao;chat;treino
REC-00097;Registro a seguinte situação: a ligação caiu e ninguém retomou o contato no meu último peddo;atendimento;site;treino
REC-00098;n consigo atendimento humano há alguns dias;atendimento;site;teste
REC-00099;A entrega foi direcionada para outro endereço no meu último pedido?;entrega;site;validacao
REC-00100;Por favor, estou esperando a encomenda há mais tempo que o informado.;entrega;email;teste
REC-00101;Então, a compra chegou depois da data em que eu precisava no meu último pedido.;entrega;telefone;validacao
REC-00102;Queria uma orientação, a ligação caiu e ninguém retomou o contato há alguns dias Como resolvo?;atendimento;chat;treino
REC-00103;A etiqueta de postagem não foi liberada!;troca_devolucao;app;treino
REC-00104;"Preciso de ajuda, enviei o item de volta e ainda não confirmaram o recbimento; e o desconto não foi aplicado. Preciso de um retorno.";troca_devolucao;site;treino
REC-00105;o prazo mudou várias vezes. também aconteceu o seguinte: o item apresentou problema no primeiro uso!;produto;app;teste
REC-00106;O sistema bloqueia a opção de devoluçao desde ontem;troca_devolucao;app;treino
REC-00107;A embalagem estava intacta, mas o item não funciona e preciso saber o que aconteceu;produto;telefone;treino
REC-00108;Houve problema com a transportadora. O que mais preciso resolver é que o produto recebido é diferente do anúncio.;produto;telefone;treino
REC-00109;pessoal, o pix saiu da conta e a compra continua pendente desde ontem podem verificar?;pagamento;telefone;treino
REC-00110;Olá, gostaria de registrar, uma parte do kit não veio há alguns dias. Agradeço se puderem olhar isso.;produto;app;treino
REC-00111;Não reconheço uma cobrança relacionada ao pedido desde ontem;pagamento;app;treino
REC-00112;Gente, bom dia, o pix saiu da conta e a compra continua pendente e, além disso, o modelo recebido não era exatamente o esperado. Preciso de um retorno.;pagamento;email;validacao
REC-00113;o pedido ainda não chegou no meu último pedido?;entrega;site;treino
REC-00114;A coleta da devolução não aconteceu desde ontem?;troca_devolucao;site;treino
REC-00115;"A previsão de chegada passou e nada; apesar disso o item também veio com uma avaria.";entrega;app;treino
REC-00116;ninguém responde ao protocolo, mas o prazo mudou várias vezes;entrega;email;teste
REC-00117;Gente, pessoal, faltou um acessório dentro da caixa, mas ao mesmo tempo o suporte pede as mesmas informações toda vez. Isso pode ser verificado, por favor Podem verificar?;produto;chat;treino
REC-00118;quero devolver a compra e não encontro a opção;troca_devolucao;app;treino
REC-00119;estou tentando devolver o item, mas a parcela veio com valor incorreto.;pagamento;chat;treino
REC-00120;Fui tratado de forma pouco cordial e, além disso, o rastreio está confuso.;atendimento;chat;treino
REC-00121;o pedido ainda não chegou no meu último pedido. Isso aconteceu depois de alguns dias.;entrega;telefone;teste
REC-00122;Gostaria de registrar, o item também veio com uma avaria. O que mais preciso resolver é que o prazo mudou várias vezes. Como resolvo?;entrega;telefone;validacao
REC-00123;O item chegou com defeito desde ontem, na compra deste mês.;produto;chat;validacao
REC-00124;Oi, venho informar, fui tratado de forma pouco cordial. Também aconteceu o seguinte: a descrição do anúncio não bate com o que chegou. Obrigada.;produto;site;treino
REC-00125;A etiqueta de postagem nao foi liberada e, além disso, o pacote demorou a chegar.;troca_devolucao;app;teste
REC-00126;Estou com uma dúvida, estou tentando falar com alguém há dias no meu último pedido. Agradeço se puderem olhar isso.;atendimento;email;treino
REC-00127;Por favor, o pacote demorou a chegar, mas o valor cobrado está diferente do anunciado.;pagamento;email;treino
REC-00128;Estou esperando a encomenda há mais tempo que o informado no meu último pedido;entrega;chat;validacao
REC-00129;Estou tentando devolver o item. O que mais preciso resolver é que recebi informações diferentes de cada atendente.;atendimento;site;treino
REC-00130;registro a seguinte situação: o item chegou com defeito no meu último pedido?;produto;site;validacao
REC-00131;O prazo de troca está correndo e não consigo abrir a solicitação e, além disso, a entrega também atrasou.;troca_devolucao;site;treino
REC-00132;A etiqueta de postagem não foi liberada desde ontem?;troca_devolucao;email;treino
REC-00133;MEU CHAMADO ESTÁ SEM ATUALIZAÇÃO Podem verificar?;atendimento;app;treino
REC-00134;Meu chamado está sem atualização desde ontem? Fico no aguardo.;atendimento;chat;treino
REC-00135;Não consigo gerar o boleto no meu último peddo;pagamento;site;treino
REC-00136;"o produto veio usado; além disso, a entrega foi direcionada para outro endereço.";entrega;telefone;treino
REC-00137;Por favor, ninguém responde ao protocolo. O que mais preciso resolver é que uma parte do kit não veio.;produto;app;treino
REC-00138;o entregador marcou tentativa sem vir aqui no meu último pedido;entrega;app;treino
REC-00139;Bom dia, a parcela veio com valor incorreto. Também aconteceu o seguinte: o pacote sumiu no trajeto. Podem verificar?;entrega;email;treino
REC-00140;Então, oi, o entregador marcou tentativa sem vir aqui Podem verificar?;entrega;chat;treino
REC-00141;O suporte pede as mesmas informações toda vez e preciso saber o que aconteceu;atendimento;email;teste
REC-00142;Oi, a caixa veio com uma peça faltando, mas o pagamento foi recusado mesmo com limite.;pagamento;telefone;treino
REC-00143;Gostaria de solicitar apoio: o prazo mudou várias vezes e preciso saber o que aconteceu?;entrega;app;validacao
REC-00144;boa tarde, a entrega foi direcionada pra outro endereço e, além disso, o modelo recebido não era exatamente o esperado. preciso de um retorno.;entrega;email;treino
REC-00145;estou tentando devolver o item, mas recebi só uma parte da compra;entrega;chat;treino
REC-00146;Bom dia, uma parte do kit não veio há alguns dias. Conseguem me orientar?;produto;chat;treino
REC-00147;a transportadora não apareceu no endereço e o prazo de troca está correndo e não consigo abrir a solicitação.;entrega;app;treino
REC-00148;Solicito orientação: boa tarde, o material parece danificado no meu último pedido. Agradeço se puderem olhar isso.;produto;telefone;treino
REC-00149;O pix saiu da conta e a compra continua pendente e preciso saber o que aconteceu. Isso aconteceu na compra feita pelo aplicativo.;pagamento;email;treino
REC-00150;Gente, venho informar, a entrega também atrasou. O que mais preciso resolver é que o item chegou com defeito. Obrigado!;produto;email;treino
REC-00151;Solicito orientação: olá, o produto veio usado desde ontem?;produto;app;teste
REC-00152;Preciso de ajuda, o tamanho não corresponde ao informado há alguns dias;produto;email;treino
REC-00153;"recebi informações diferentes de cada atendente há alguns dias; situação observada desde ontem.";atendimento;telefone;treino
REC-00154;Preciso de ajuda, o valor cobrado está diferente do anunciado desde ontem Obrigada.;pagamento;app;treino
REC-00155;a peça veio quebrada desde ontem?;produto;chat;validacao
REC-00156;a cor veio diferente da escolhida e preciso saber o q aconteceu?;produto;chat;teste
REC-00157;Olá, preciso trocar o tamanho recebido no meu último pedido Obrigado.;troca_devolucao;site;treino
REC-00158;"Por favor, o item chegou com defeito; além disso, a compra foi cancelada, mas a cobrança permaneceu!";pagamento;site;treino
REC-00159;a solicitação de devolução não avança, mas ao mesmo tempo a descrição do anúncio não bate com o que chegou;troca_devolucao;email;validacao
REC-00160;O item também veio com uma avaria, mas a solicitação de devolução não avança.;troca_devolucao;email;treino
REC-00161;Houve problema com a transportadora. O que mais preciso resolver é que o suporte pede as mesmas informações toda vez.;atendimento;site;treino
REC-00162;olá, consta como entregue, mas não recebi. também aconteceu o seguinte: a parcela veio com valor incorreto.;pagamento;email;treino
REC-00163;Bom dia, a previsão de chegada passou e nada? Obrigada.;entrega;email;treino
REC-00164;Por favor, a etiqueta de postagem não foi liberada e preciso saber o que aconteceu.;troca_devolucao;chat;validacao
REC-00165;Prometeram retorno e não retornaram?;atendimento;email;treino
REC-00166;O cartão foi debitado, mas o pedido não confirmou e preciso saber o que aconteceu;pagamento;site;treino
REC-00167;Pessoal, a compra foi cancelada, mas a cobrança permaneceu e, além disso, o modelo recebido não era exatamente o esperado. Preciso de um retorno.;pagamento;email;treino
REC-00168;SOLICITO ORIENTAÇÃO: O MATERIAL PARECE DANIFICADO HÁ ALGUNS DIAS?;produto;chat;validacao
REC-00169;a peça veio quebrada e preciso saber o que aconteceu.;produto;email;treino
REC-00170;Desde o fim de semana, uma parte do kit não veio há alguns dias.;produto;site;treino
REC-00171;O pacote voltou para o remetente sem explicação e preciso saber o que aconteceu?;entrega;telefone;teste
REC-00172;Estou tentando falar com alguém há dias há alguns dias?;atendimento;chat;treino
REC-00173;A cor veio diferente da escolhida e preciso saber o que aconteceu?;produto;telefone;treino
REC-00174;por favor, estou tentando falar com alguém há dias e, além disso, a devolução não aparece no sistema. como resolvo?;atendimento;app;treino
REC-00175;;pagamento;telefone;treino
REC-00176;Pessoal, uma parte do kit não veio e, além disso, a entrega também atrasou. Agradeço se puderem olhar isso.;produto;site;treino
REC-00177;Na primeira tentativa, o sistema diz pagamento pendente, mas já paguei desde ontem.;pagamento;app;treino
REC-00178;Por favor, por favor, a compra chegou depois da data em que eu precisava há alguns dias Como resolvo?;entrega;app;teste
REC-00179;Oi, preciso substituir o item por outro modelo. Também aconteceu o seguinte: a parcela veio com valor incorreto.;pagamento;chat;treino
REC-00180;Olá, estou esperando a encomenda há mais tempo que o informado há alguns dias?;entrega;telefone;treino
REC-00181;Na primeira tentativa, o pix saiu da conta e a compra continua pendente e preciso saber o que aconteceu.;pagamento;chat;treino
REC-00182;"Recebi o modelo errado; ao mesmo tempo também tentei abrir uma troca.";produto;chat;treino
REC-00183;quero cancelar a compra e devolver o q recbi desde ontem.;troca_devolucao;site;treino
REC-00184;Gente, queria uma orientação, o sistema bloqueia a opção de devolução. Isso pode ser verificado, por favor?;troca_devolucao;site;treino
REC-00185;"Recebi informações diferentes de cada atendente; mas o desconto não foi aplicado.";atendimento;telefone;treino
REC-00186;A descrição do anúncio não bate com o que chegou. Isso aconteceu em uma compra recente.;produto;site;validacao
REC-00187;"O item apresentou problema no primeiro uso; ao mesmo tempo e ainda não consigo retorno no atendimento.";produto;telefone;teste
REC-00188;O desconto não foi aplicado, mas o rastreio parou de atualizar.;entrega;app;treino
REC-00189;O tamanho não corresponde ao informado?;produto;telefone;validacao
REC-00190;também tentei abrir uma troca. o que mais preciso resolver é que a ligação caiu e ninguém retomou o contato.;atendimento;chat;treino
REC-00191;o modelo recebido não era exatamente o esperado, mas foi incluída uma taxa que não estava prevista.;pagamento;chat;treino
REC-00192;estou com uma dúvida, a resposta recebida não tem relação com a minha dúvida há alguns dias obrigada.;atendimento;site;treino
REC-00193;A caixa veio com uma peça faltando. O que mais preciso resolver é que fui tratado de forma pouco cordial;atendimento;app;validacao
REC-00194;O pacote voltou para o remetente sem explicação, em uma compra recente.;entrega;site;treino
REC-00195;Registro a seguinte situação: a ligação caiu e ninguém retomou o contato, mas ao mesmo tempo a compra chegou depois da data em que eu precisava.;atendimento;chat;treino
REC-00196;POR FAVOR, O ENTREGADOR MARCOU TENTATIVA SEM VIR AQUI E, ALÉM DISSO, O ITEM TAMBÉM VEIO COM UMA AVARIA. ISSO PODE SER VERIFICADO, POR FAVOR?!;entrega;site;treino
REC-00197;Pessoal, a encomenda esta atrasada? Conseguem me orientar?;entrega;chat;treino
REC-00198;Por favor, estou com uma dúvida, ninguém responde ao protocolo. O que mais preciso resolver é que não reconheço uma cobrança relacionada ao pedido. Isso pode ser verificado, por favor?;pagamento;site;treino
REC-00199;"Olá, o tamanho não corresponde ao informado; além disso, recebi só uma parte da compra.";entrega;site;treino
REC-00200;Olá, o tamanho não corresponde ao informado há alguns dias? Agradeço se puderem olhar isso.;produto;site;treino
REC-00201;Registro a seguinte situação: o pedido ainda não chegou e preciso saber o que aconteceu.;entrega;email;validacao
REC-00202;Oi, a caixa veio com uma peça faltando, mas estou esperando a encomenda há mais tempo que o informado. Isso pode ser verificado, por favor?;entrega;app;validacao
REC-00203;A embalagem estava intacta, mas o item não funciona e, além disso, e ainda não consigo retorno no atendimento. Isso pode ser verificado, por favor?;produto;site;treino
REC-00204;Preciso substituir o item por outro modelo e, além disso, a entrega também atrasou.;troca_devolucao;chat;treino
REC-00205;"O tamanho não corresponde ao informado; e e ainda não consigo retorno no atendimento.";produto;app;validacao
REC-00206;Preciso de ajuda, o item chegou com defeito há alguns dias? Conseguem me orientar?;produto;chat;treino
REC-00207;"por favor, não consigo atendimento humano; apesar disso a caixa veio com uma peça faltando.";atendimento;chat;treino
REC-00208;O produto recebido é diferente do anúncio;produto;chat;treino
REC-00209;Por favor, queria uma orientação, o pacote demorou a chegar. O que mais preciso resolver é que enviei o item de volta e ainda não confirmaram o recebimento. Obrigado.;troca_devolucao;chat;teste
REC-00210;A cor veio diferente da escolhida e preciso saber o que aconteceu. Isso aconteceu no pedido que fiz para casa.;produto;app;validacao
REC-00211;o pix saiu da conta e a compra continua pendente no meu último pedido. Isso aconteceu desde a semana passada.;pagamento;email;treino
REC-00212;Também tentei abrir uma troca. O que mais preciso resolver é que o rastreio parou de atualizar.;entrega;app;treino
REC-00213;o item também veio com uma avaria. o que mais preciso resolver é que não consigo gerar o boleto.;pagamento;app;teste
REC-00214;"NINGUÉM RESPONDE MINHAS MENSAGENS; ALÉM DISSO, ENVIEI O ITEM DE VOLTA E AINDA N CONFIRMARAM O RECEBIMENTO.";troca_devolucao;telefone;treino
REC-00215;o produto recebido é diferente do anúncio há alguns dias?;produto;telefone;teste
REC-00216;ninguém responde ao protocolo, mas o item apresentou problema no primeiro uso;produto;site;treino
REC-00217;pessoal, enviei o item de volta e ainda não confirmaram o recebimento desde ontem? podem verificar?;troca_devolucao;site;treino
REC-00218;O tamanho não corresponde ao informado no meu último pedido?;produto;email;teste
REC-00219;O sistema diz pagamento pendente, mas já paguei e, além disso, o pacote demorou a chegar.;pagamento;telefone;validacao
REC-00220;venho informar, o estorno ainda não apareceu desde ontem conseguem me orientar?!!!;pagamento;chat;treino
REC-00221;Olá, o suporte pede as mesmas informações toda vez e quero devolver a compra e não encontro a opção.;atendimento;chat;validacao
REC-00222;já postei a devolução e o status n mudou 😤;troca_devolucao;site;treino
REC-00223;Só queria entender, o cupom foi aceito e depois o desconto sumiu, mas ao mesmo tempo o aparelho desliga sozinho. Como resolvo?;pagamento;site;validacao
REC-00224;por favor, não reconheço uma cobrança relacionada ao pedido. podem verificar? ...;pagamento;app;teste
REC-00225;"Meu chamado está sem atualização; apesar disso houve problema com a transportadora.";atendimento;email;treino
REC-00226;O sistema diz pagamento pendente, mas já paguei no meu último pedido.;pagamento;email;treino
REC-00227;Registro a seguinte situação: quero cancelar a compra e devolver o que recebi;troca_devolucao;email;teste
REC-00228;o item também veio com uma avaria, mas a solicitação de devolução não avança.;troca_devolucao;app;treino
REC-00229;Oi, a previsão de chegada passou e nada e, além disso, o modelo recebido não era exatamente o esperado.;entrega;app;treino
REC-00230;Então, também tentei abrir uma troca, mas o acabamento veio com marcas.;produto;site;teste
REC-00231;"Recebi informações diferentes de cada atendente; além disso, o produto recebido é diferente do anúncio.";produto;site;teste
REC-00232;O material parece danificado desde ontem;produto;email;validacao
REC-00233;a entrega foi direcionada pra outro endereço desde ontem;entrega;app;treino
REC-00234;Queria uma orientação, o desconto não foi aplicado, mas a coleta da devolução não aconteceu. Podem verificar?!;troca_devolucao;site;treino
REC-00235;QUERIA UMA ORIENTAÇÃO, NÃO CONSIGO LOCALIZAR ONDE ESTÁ A ENCOMENDA HÁ ALGUNS DIAS FICO NO AGUARDO.;entrega;chat;treino
REC-00236;Oi, prometeram retorno e não retornaram e preciso saber o que aconteceu;atendimento;telefone;teste
REC-00237;QUERO DEVOLVER A COMPRA E NÃO ENCONTRO A OPÇÃO E PRECISO SABER O QUE ACONTECEU?;troca_devolucao;site;treino
REC-00238;O protocolo foi fechado sem retorno e preciso saber o que aconteceu.;atendimento;email;treino
REC-00239;a devolução n aparece no sistema. o que mais preciso resolver é que o valor foi cobrado duas vezes. obrigada.;pagamento;chat;treino
REC-00240;A entrega foi direcionada para outro endereço Obrigada.;entrega;chat;teste
REC-00241;Por favor, o cupom foi aceito e depois o desconto sumiu desde ontem!;pagamento;chat;teste
REC-00242;Olá, olá, o pacote voltou para o remetente sem explicação desde ontem Como resolvo?;entrega;telefone;treino
REC-00243;Pessoal, o sistema bloqueia a opção de devolução no meu último peddo Isso pode ser verificado, por favor?;troca_devolucao;chat;treino
REC-00244;Por favor, também tentei abrir uma troca. O que mais preciso resolver é que o aparelho desliga sozinho. Isso pode ser verificado, por favor?;produto;email;treino
REC-00245;Gente, a encomenda está atrasada e, além disso, a devolução não aparece no sistema.;entrega;email;validacao
REC-00246;"Gostaria de registrar, o sistema diz pagamento pendente, mas já paguei; entretanto a entrega também atrasou. Obrigado.";pagamento;email;treino
REC-00247;Gostaria de solicitar apoio: oi, o produto recebido é diferente do anúncio há alguns dias. Preciso de um retorno.;produto;chat;treino
REC-00248;A transportadora não apareceu no endereço.;entrega;email;treino
REC-00249;Então, o aparelho desliga sozinho no meu último peddo;produto;telefone;treino
REC-00250;o sistema diz pagamento pendente, mas já paguei, mas ao mesmo tempo quero devolver a compra e não encontro a opção;pagamento;email;treino
REC-00251;Oi, estou tentando falar com alguém há dias há alguns dias;atendimento;telefone;treino
REC-00252;por favor, quero devolver a compra e não encontro a opção no meu último pedido isso pode ser verificado, por favor?;troca_devolucao;site;treino
REC-00253;o reembolso foi aprovado, porém não caiu e, além disso, a caixa veio com uma peça faltando.!!!;pagamento;app;treino
REC-00254;O tamanho não corresponde ao informado. Isso aconteceu hoje de manhã.;produto;site;validacao
REC-00255;oi, recebi o modelo errado desde ontem podem verificar!;produto;app;teste
REC-00256;a entrega também atrasou o q mais preciso resolver é q estou tentando falar com alguém há dias;atendimento;email;treino
REC-00257;Gostaria de registrar, o pagamento foi recusado mesmo com limite e a encomenda está atrasada. Preciso de um retorno.;pagamento;app;treino
REC-00258;Gente, preciso de ajuda, o valor foi cobrado duas vezes desde ontem? Podem verificar?;pagamento;app;treino
REC-00259;O pedido ainda não chegou e preciso saber o que aconteceu;entrega;app;treino
